layer,position,accuracy
0,first,0.45
1,first,0.45
2,first,0.45
3,first,0.45
4,first,0.45
5,first,0.45
6,first,0.45
7,first,0.45
8,first,0.45
9,first,0.45
10,first,0.45
11,first,0.45
12,first,0.45
13,first,0.45
14,first,0.45
15,first,0.45
16,first,0.45
17,first,0.45
18,first,0.45
19,first,0.45
20,first,0.45
21,first,0.45
22,first,0.45
23,first,0.45
24,first,0.45
25,first,0.45
26,first,0.45
27,first,0.45
28,first,0.45
29,first,0.45
30,first,0.45
31,first,0.45
32,first,0.45
33,first,0.45
34,first,0.45
35,first,0.45
36,first,0.45
37,first,0.45
38,first,0.45
39,first,0.45
40,first,0.45
0,middle,0.7666666666666667
1,middle,0.7333333333333333
2,middle,0.7666666666666667
3,middle,0.7833333333333333
4,middle,0.7833333333333333
5,middle,0.8333333333333334
6,middle,0.8
7,middle,0.8
8,middle,0.8333333333333334
9,middle,0.8666666666666667
10,middle,0.8666666666666667
11,middle,0.8666666666666667
12,middle,0.9
13,middle,0.9
14,middle,0.9166666666666666
15,middle,0.9166666666666666
16,middle,0.9166666666666666
17,middle,0.9166666666666666
18,middle,0.9166666666666666
19,middle,0.9
20,middle,0.9166666666666666
21,middle,0.9
22,middle,0.9
23,middle,0.9166666666666666
24,middle,0.9
25,middle,0.9166666666666666
26,middle,0.9
27,middle,0.9
28,middle,0.9
29,middle,0.9
30,middle,0.9
31,middle,0.8833333333333333
32,middle,0.8833333333333333
33,middle,0.8833333333333333
34,middle,0.8833333333333333
35,middle,0.9
36,middle,0.8833333333333333
37,middle,0.8833333333333333
38,middle,0.8833333333333333
39,middle,0.8666666666666667
40,middle,0.85
0,last,0.45
1,last,0.8666666666666667
2,last,0.95
3,last,0.9833333333333333
4,last,0.9833333333333333
5,last,0.9833333333333333
6,last,0.9833333333333333
7,last,0.9833333333333333
8,last,0.9666666666666667
9,last,0.9666666666666667
10,last,0.9833333333333333
11,last,0.9666666666666667
12,last,0.9666666666666667
13,last,0.9666666666666667
14,last,0.9666666666666667
15,last,0.9666666666666667
16,last,0.9666666666666667
17,last,0.9833333333333333
18,last,0.9833333333333333
19,last,0.9833333333333333
20,last,0.9833333333333333
21,last,0.9833333333333333
22,last,0.9833333333333333
23,last,0.9833333333333333
24,last,0.9833333333333333
25,last,0.9833333333333333
26,last,0.9833333333333333
27,last,0.9833333333333333
28,last,0.9833333333333333
29,last,0.9833333333333333
30,last,0.9833333333333333
31,last,0.9833333333333333
32,last,0.9833333333333333
33,last,0.9833333333333333
34,last,0.9833333333333333
35,last,0.9833333333333333
36,last,0.9833333333333333
37,last,0.9833333333333333
38,last,0.9833333333333333
39,last,0.9833333333333333
40,last,0.9833333333333333
